,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
921,,Nagasandra mgroad,Shobha city mg road ,Shopping,Saptgiri,Home,14:00:00,Bus + Metro ,60,Walk ,5,< 0.5 km ,5,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,10,5,No ,55,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,I was not making this trip ,18-25 yrs ,12th,Student,"10,001 – 25,000",0.0,0,0,0,0,10,-1,4,1,2,1,1,3,1,1,1,1
922,Jalahalli ,,"Yeshwantpur,near metro station ",Home,"Jalahalli , near metro station ",Work,13:30:00,Metro ,30,Walk ,10,1 km to 1.5 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,1,2,1,1,4,3,3,1,1,1
923,,Nagasandra jpnahar,Dayanand sagar college ,Home,Bfw,Work,14:30:00,Metro ,45,Walk ,10,0.5 to 1 km ,10,Rapido/Uber Moto/Ola two-wheeler ,10,1 km to 1.5 km ,0,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Business,"50,001 – 1,00,000",0.0,1,0,0,0,10,-1,1,2,1,3,3,4,1,1,1,7
924,Jalahalli ,,MG road,Home,AIMs college ,School,14:00:00,Metro ,45,Walk ,5,< 0.5 km ,5,Walk ,10,1 km to 1.5 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - Most ,Male,,,Metro ,18-25 yrs ,Graduate,Student,"50,001 – 1,00,000",0.0,1,0,0,0,10,-1,1,3,1,1,1,4,3,1,1,1
925,,Purple line,Indiranagara metro station,Other,Kengeri RR medical college,Home,14:35:00,Metro ,90,Auto Rickshaw ,10,2.5 km to 3 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,300,Very high crowding - All seats AND most standing space occupied ,Female,,,Bus and Metro ,36-45 yrs ,Postgraduate,Employed,>2 Lakhs,1.0,0,2,0,0,10,-1,8,1,1,3,7,3,3,0,5,1
926,,Purple line ,"Vidya Peeta circle,chenamma kerr Street ",Home,"Kambipure,ACS engineering college ",School,02:30:00,Bus1 + Metro + Bus2 ,60,Walk ,15,0.5 to 1 km ,5,Walk ,5,< 0.5 km ,,For access trip only ,2,3,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Student,,1.0,1,0,0,0,10,-1,1,3,4,1,3,1,2,0,1,1
927,,Majestic jayanagar ,Btm layout ,Work,Rv nagar Patanagar,Work,14:40:00,Metro ,20,Auto Rickshaw ,20,4.5 km to 5 km ,2,Auto Rickshaw ,15,4 km to 4.5 km ,5,For neither access nor egress trips ,,,Mobility card ,120,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,46-60 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,1,0,0,10,-1,2,2,1,4,6,10,1,1,5,5
928,,Saha to bana,Banashankari,Work,Kaveri bhavan,Other,14:50:00,Metro ,110,Ola/Uber car ,60,3.5 km to 4 km ,4,Ola/Uber car ,30,3 km to 3.5 km ,0,For neither access nor egress trips ,,,No ,650,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",0.0,1,0,0,0,10,-1,2,8,1,2,9,5,1,1,6,6
929,,Purple line ,"Whitefield,phoenix mall",Shopping,"Kengeri ,Christ University ",School,02:30:00,Bus1 + Metro + Bus2 ,120,Walk ,2,< 0.5 km ,5,Auto Rickshaw ,15,1 km to 1.5 km ,5,For both access and egress trips ,1,4,No ,150,No crowding - Less than 25% of seats occupied ,Female,Eligible but do not use ,Bus + Metro ,Bus and Metro ,18-25yrs ,12th,Student,,1.0,2,0,0,0,10,-1,4,3,4,1,1,4,3,0,1,5
930,,Purple line kengeri to byp,Vijaynagar atiiguppe,Home,RV college ,Work,14:45:00,Metro ,30,Walk ,10,< 0.5 km ,10,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Bus and Metro ,26-35 yrs ,Graduate,Employed,,1.0,1,0,0,0,10,-1,1,2,1,2,1,3,3,0,1,1
931,,Chekpet jpnagar,Veja city,Home,Chekpet market ,Shopping,15:00:00,Metro + Bus ,45,Walk ,15,0.5 to 1 km ,0,Auto Rickshaw ,5,< 0.5 km ,0,For access trip only ,2,0,No ,50,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus + Metro ,Auto Rickshaw ,18-25yrs ,Graduate,Student,"25,001 – 50,000",0.0,0,0,0,0,10,-1,1,4,3,1,3,1,2,0,1,5
932,Jalahalli ,,"Rajajinagar, 1st block",Home,"Chikkabadawara, RRIT",School,14:40:00,Bus + Metro ,45,Walk ,5,< 0.5 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,3,5,Metro card ,10,No crowding  - Most ,Male,,,Metro ,18-25 yrs ,12th,Student,,0.0,0,0,0,0,10,-1,1,3,2,1,1,3,3,1,1,1
933,,Kengeri to byp,Chikpete sudarshan,Shopping,Bidadi town,Home,14:15:00,Bus + Metro ,150,Walk ,5,< 0.5 km ,10,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,2,2,No ,80,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Postgraduate,Employed,,0.0,1,0,0,0,10,-1,4,1,2,2,1,4,3,0,1,1
934,,Purple line ,"Magadi road ,magadi",Home,"Global village ,kengeri",Work,14:45:00,Metro + Bus ,120,Bicycle ,5,2 km to 2.5 km ,10,Walk ,15,< 0.5 km ,,For neither access nor egress trips ,5,30,Metro card ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,1,2,3,1,11,1,1,0,2,1
935,Jalahalli ,,Electronic City,Home,"Jalahalli, ayyappa temple",Work,15:10:00,Metro + Bus ,120,Auto Rickshaw ,7,0.5 to 1 km ,7,Walk ,5,< 0.5 km ,,For access trip only ,3,3,No ,75,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Bus and Metro ,26-35 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,1,2,3,2,3,1,2,1,5,1
936,Jalahalli ,,"Jayanagar,4th p block",Home,Peenya industry bus stop near,Work,14:30:00,Bus + Metro ,60,Walk ,15,1 km to 1.5 km ,10,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,1,5,No ,55,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,1,2,2,1,4,4,3,1,1,1
937,Jalahalli ,,"Halsuru, near by police station ",Other,"Jalahalli,  ayyapaswami temple, ideal school ",Home,15:15:00,Bus + Metro ,70,Walk ,10,0.5 to 1 km ,5,Walk ,25,1 km to 1.5 km ,,For both access and egress trips ,5,5,No ,45,No crowding  - 50-75% of seats occupied ,Female,Yes ,Bus ,Bus ,26-35yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,8,1,2,2,3,4,3,0,1,1
938,,Purple line ,"Mg road,laludas shoe makers,brigade road",Work,Banshakari 5th stage rns institute ,Home,14:30:00,Metro ,60,Auto Rickshaw ,30,3.5 km to 4 km ,10,Walk ,6,1 km to 1.5 km ,,For both access and egress trips ,,,Metro card ,60,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,1,2,0,0,10,-1,2,1,1,1,9,4,3,0,5,1
939,,Purple line kegeri to byappanahalli ,MG road ,Shopping,"Majestic 
",School,15:23:00,Metro ,10,Walk ,15,1 km to 1.5 km ,7,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,Metro card ,30,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,"10,001 – 25,000",1.0,2,0,0,0,10,-1,4,3,1,1,4,1,3,0,1,1
940,Jalahalli ,,"Vijayanagar,shree vasavi condiments,9th main",Work,Jalahalli,Home,15:23:00,Metro ,40,Walk ,5,< 0.5 km ,9,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,No ,39,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,18-25 yrs ,12th,Employed,"<=10,000",0.0,0,0,0,0,10,-1,2,1,1,1,1,1,1,1,1,1
941,,Byapnahalli to ken,"Sir m Visvesvaraya, kandaya bhavan",Home,"Rmz, opposite to goplan mall",Work,15:00:00,Metro ,45,Walk ,15,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,1,2,1,1,3,3,1,1,1,1
942,Jalahalli ,,Chikkpette market ,Work,"Dasarahalli,chowdeshwari layout ",Home,15:30:00,Metro ,30,Walk ,10,< 0.5 km ,10,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,36-45 yrs ,12th,Business,"25,001 – 50,000",0.0,1,1,0,0,10,-1,2,1,1,3,1,1,1,1,1,1
943,Jalahalli ,,"Majestic,janata bazar near",Work,"Hassan, near Bus stand ",Home,12:30:00,Bus + Metro ,210,Walk ,5,< 0.5 km ,10,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,3,5,No ,285,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,36-45 yrs ,Graduate,Business,>2 Lakhs,1.0,1,0,0,0,10,-1,2,1,2,3,1,3,1,1,1,1
944,,Green line,Malleshwaram,Home,", Jain University, jay nagar",Work,15:10:00,Metro + Bus ,75,Bus,4,< 0.5 km ,10,Walk ,4,0.5 to 1 km ,,For both access and egress trips ,3,3,Metro card ,66,No crowding  - Most ,Male,,,Metro ,18-25 yrs ,Graduate,Student,"1,00,001 – 2,00,000",0.0,1,0,0,0,10,-1,1,2,3,1,1,3,3,1,12,1
945,,Kengeri to bayappanahalli ,Byappanahalli DC palya,Home,Kengeri metro ,Social,14:30:00,Metro ,90,Auto Rickshaw ,15,> 5 km ,4,Auto Rickshaw ,15,> 5 km ,5,For both access and egress trips ,,,Metro card ,200,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,>2 Lakhs,1.0,3,0,0,0,10,-1,1,6,1,2,8,8,3,0,5,5
946,,NAGASANDRA-SILK INSTITUTE,Mantri square,Restaurant,NAGASANDRA,School,14:30:00,Metro ,30,Walk ,15,> 5 km ,7,Walk ,2,< 0.5 km ,,For access trip only ,,,No ,35,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,5,3,1,1,8,1,2,1,1,1
947,Jalahalli ,,Rajainagar bus stand(udupi),Other,"Cheemsandra, Paris company ",Home,14:30:00,Metro ,120,Two-Wheeler ,60,> 5 km ,5,Rapido/Uber Moto/Ola two-wheeler ,10,1.5 km to 2 km ,5,For both access and egress trips ,,,Metro card ,50,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Business,"25,001 – 50,000",0.0,1,0,0,0,10,-1,8,1,1,1,8,2,3,1,3,7
948,Jalahalli ,,"Mantri mall, Malleshwaram ",Shopping,"Jalahalli, industrial area ",Work,15:40:00,Metro ,20,Walk ,5,< 0.5 km ,9,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,No ,30,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Bus ,26-35 yrs ,Trade,Employed,"25,001 – 50,000",0.0,2,0,0,0,10,-1,4,2,1,2,1,1,1,1,1,1
949,,Kengeri to bayappanahalli ,Byappanahalli RMZ infinity ,Work,NR colony,Home,15:05:00,Bus + Metro ,60,Walk ,5,< 0.5 km ,10,Walk ,15,0.5 to 1 km ,,For both access and egress trips ,5,7,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,36-45yrs ,Graduate,Employed,,1.0,1,0,0,0,10,-1,2,1,2,3,1,3,3,0,1,1
950,,Byapnahalli to kengeri,"Banshankri, 13th cross",Home,"Hoodi, hotel jewey",Work,15:05:00,Bus1 + Metro + Bus2 ,120,Walk ,2,< 0.5 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,2,4,Metro card ,30,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,1,0,0,0,10,-1,1,2,4,1,1,1,1,1,1,1
951,Jalahalli ,,Banshankri bus stop ,Home,"Thumkur, sadashiv nagar",Home,14:30:00,Bus + Metro ,180,Two-Wheeler ,5,1 km to 1.5 km ,2,Walk ,10,1 km to 1.5 km ,,For both access and egress trips ,5,5,No ,130,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Employed,"50,001 – 1,00,000",1.0,3,0,0,0,10,-1,1,1,2,1,4,4,3,1,3,1
952,,Byp to kengeri,Hosahalli reliance ,Home,Whitefield railway station ,Work,15:15:00,Metro + Bus ,60,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,1,5,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,36-45yrs ,12th,Employed,,0.0,1,0,0,0,10,-1,1,2,3,3,3,3,1,0,1,1
953,Jalahalli ,,"Yashwanthpura, railway station ",Other,"Vijayanagar,  rock layout ",Home,15:00:00,Bus + Metro ,120,Walk ,10,0.5 to 1 km ,5,Walk ,5,< 0.5 km ,,For both access and egress trips ,5,8,No ,45,No crowding  - 25-50% of seats occupied ,Male,,,Bus ,18-25 yrs ,12th,Student,,0.0,1,1,0,0,10,-1,8,1,2,1,3,1,3,1,1,1
954,,Byapnahalli to kengeri ,"Kengeri, sdn hospital",Home,"Whitefield, ntt data",Work,15:30:00,Metro + Bus ,120,Walk ,8,< 0.5 km ,10,Walk ,10,< 0.5 km ,,For both access and egress trips ,2,2,No ,130,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,26-35 yrs ,Postgraduate,Employed,>2 Lakhs,1.0,1,0,0,0,10,-1,1,2,3,2,1,1,3,1,1,1
955,Jalahalli ,,Orion mall ,Shopping,Jalahalli cross,Home,16:05:00,Metro ,10,Walk ,5,< 0.5 km ,9,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,"25,001 – 50,000",1.0,0,1,0,0,10,-1,4,1,1,1,1,1,1,1,1,1
956,Jalahalli ,,Banashankari temple,Social,"Shivapura main road, 1st cross ",Home,16:00:00,Metro ,40,Two-Wheeler ,10,2 km to 2.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,50,No crowding  - 25-50% of seats occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Unemployed,,0.0,1,0,0,0,10,-1,6,1,1,2,11,1,1,0,3,1
957,,Byp to kengeri,Tumkur saptagiri extension,Home,Bellandur eco world ,Work,15:00:00,Metro + Bus ,180,Company cab,45,> 5 km ,3,Dropped-off by friends/others ,10,2.5 km to 3 km ,2,For egress trip only ,5,2,No ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,2.0,2,1,0,0,10,-1,1,2,3,1,8,7,4,0,10,8
958,Jalahalli ,,near National college ,Friend,"Dasarahalli, 8th cross",Home,15:44:00,Bus + Metro ,60,Walk ,5,< 0.5 km ,5,Dropped-off by friends/others ,10,2 km to 2.5 km ,5,For both access and egress trips ,2,5,No ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,12th,Employed,"25,001 – 50,000",0.0,0,0,0,0,10,-1,7,1,2,1,1,11,3,1,1,8
959,,Kengeri Trinity ,Trinity circle ,Work,Kengeri circle ,Home,15:45:00,Metro ,45,Two-Wheeler ,5,0.5 to 1 km ,0,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,9,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Employed,>2 Lakhs,1.0,2,2,0,0,10,-1,2,1,1,3,3,1,1,1,3,1
960,,Swami Vivekananda to kengeriterminal,Bus tearminal,Work,Indra nagar,Home,15:45:00,Metro ,60,Bicycle ,5,0.5 to 1 km ,5,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,No ,100,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,2,1,1,2,3,1,3,1,2,1
961,Jalahalli ,,"Iskcon,  rajajinagar ",Social,Judicial layout ,Home,16:00:00,Metro ,25,Two-Wheeler ,20,> 5 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,No ,22,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,,1.0,1,1,0,0,10,-1,6,1,1,1,8,3,3,1,3,1
962,Majestic ,,Jyanabharathi Bangalore university ,Home,Marath halli kadubeesnahalli,Work,15:00:00,Metro ,120,Rapido/Uber moto/Ola App two-wheeler ,10,2.5 km to 3 km ,7,Dropped-off by friends/others ,10,2.5 km to 3 km ,7,For neither access nor egress trips ,,,No ,100,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,18-25 yrs ,Postgraduate,Employed,>2 Lakhs,1.0,3,0,0,0,10,-1,1,2,1,1,7,7,1,0,7,8
963,,Baiyapanahali kengeri ,Ram nagar ,Home,HP company ,Work,15:30:00,Metro + Bus ,90,Auto Rickshaw ,10,4.5 km to 5 km ,0,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,2,13,No ,200,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus ,Bus and Metro ,18-25yrs ,Postgraduate,Employed,>2 Lakhs,0.0,0,0,0,0,10,-1,1,2,3,1,6,3,1,0,5,1
964,Jalahalli ,,Mantri mall,Shopping,"Jalahalli, ayyappa nagar ",Home,16:30:00,Metro ,25,Walk ,10,1 km to 1.5 km ,5,Walk ,5,< 0.5 km ,,For access trip only ,,,No ,30,No crowding  - Most ,Male,,,Metro ,18-25 yrs ,Postgraduate,Unemployed,"50,001 – 1,00,000",1.0,2,0,0,0,10,-1,4,1,1,1,4,1,2,1,1,1
965,,Kangeri to hosahalli,Basehwanagar police ,Home,Medical college RR,School,17:40:00,Bus1 + Metro + Bus2 ,60,Walk ,1,< 0.5 km ,15,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,5,5,Metro card ,35,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,Doctorate,Student,"25,001 – 50,000",1.0,1,0,0,0,10,-1,1,3,4,1,1,1,1,1,1,1
966,,Kengeri Swami Vivekananda ,Lamcy super market ,Home,Christ University ,School,16:00:00,Bus + Metro ,90,Walk ,5,< 0.5 km ,2,Rapido/Uber Moto/Ola two-wheeler ,20,4.5 km to 5 km ,2,For egress trip only ,1,0,Metro card ,20,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,I was not making this trip ,18-25 yrs ,Graduate,Student,"10,001 – 25,000",2.0,2,2,0,0,10,-1,1,3,2,1,1,6,4,1,1,7
967,,Rajarajeswari - cubban park ,Shivaji nagar Cubban park ,Home,PES,School,16:30:00,Bus + Metro ,40,Walk ,5,< 0.5 km ,10,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,0,5,Mobility card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus ,Bus ,18-25yrs ,Graduate,Student,"1,00,001 – 2,00,000",1.0,1,1,0,0,10,-1,1,3,2,1,1,4,3,0,1,1
968,,Jalahalli ,Malleshwaram 8th cross,Home,"Ms palya, kasipo restuarant ",Restaurant,16:00:00,Bus + Metro ,90,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,7,5,No ,28,No crowding  - 25-50% of seats occupied ,Female,Yes ,Bus ,Metro ,18-25yrs ,12th,Student,,0.0,0,0,0,0,10,-1,1,5,2,1,3,3,3,0,1,1
969,Jalahalli ,,"Gayitri nagar, near nayak hospital ",Home,Tikki Village ,Restaurant,16:15:00,Bus + Metro ,90,Auto Rickshaw ,15,2.5 km to 3 km ,15,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,2,5,No ,48,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Student,"10,001 – 25,000",0.0,0,0,0,0,10,-1,1,5,2,1,7,3,3,1,5,1
970,Jalahalli ,,"Rajarajeshwari nagar, sports authority of India ",Home,Archarya institute ,School,15:00:00,Metro ,60,Walk ,10,0.5 to 1 km ,5,Walk ,10,< 0.5 km ,,For access trip only ,,,No ,50,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,"<=10,000",0.0,0,0,0,0,10,-1,1,3,1,1,3,1,2,1,1,1
971,,Nagasandra - silk institute ,"Rajajinagar , gayitri nagar,near SBI bank",Home,"Nagasandra , doddabidrukallu,",Work,16:15:00,Metro ,40,Walk ,45,> 5 km ,10,Walk ,10,1.5 km to 2 km ,,For neither access nor egress trips ,,,Mobility card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Business,"50,001 – 1,00,000",0.0,2,0,0,0,10,-1,1,2,1,2,8,2,1,1,1,1
972,,NAGASANDRA-SILK INSTITUTE,Banshankari,Home,BAIYYAPANAHALLI,Work,16:45:00,Metro ,60,Walk ,15,0.5 to 1 km ,12,Walk ,15,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,90,No crowding  - Most ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,1,0,0,0,10,-1,1,2,1,2,3,3,3,1,1,1
973,,NAGASANDRA-SILK INSTITUTE,Banashankri,Home,Mejestic,Work,16:15:00,Metro ,120,Walk ,5,< 0.5 km ,25,Walk ,20,< 0.5 km ,,For access trip only ,,,No ,30,No crowding - Less than 25% of seats occupied ,Male,,,Metro ,18-25 yrs ,Postgraduate,Student,"<=10,000",0.0,0,0,0,0,10,-1,1,2,1,1,1,1,2,1,1,1
974,,Nagasandra - silk institute ,"Yelachenahalli,Ganapathipura near",Home,"Nagasandra, marnayakanahalli",Work,16:30:00,Metro + Bus ,120,Walk ,2,< 0.5 km ,4,Own bike,2,0.5 to 1 km ,0,For both access and egress trips ,2,10,Metro card ,50,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus and Metro ,26-35 yrs ,12th,Employed,"10,001 – 25,000",0.0,1,0,0,0,10,-1,1,2,3,2,1,3,3,1,1,3
975,,NAGASANDRA-SILK INSTITUTE,Jp nagar 1st ohase,School,Silk board,Restaurant,14:00:00,Bus + Metro ,45,Walk ,15,0.5 to 1 km ,5,Walk ,20,0.5 to 1 km ,,For neither access nor egress trips ,3,16,No ,35,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,"25,001 – 50,000",0.0,1,0,0,0,10,-1,3,5,2,1,3,3,1,1,1,1
976,,SILK INSTITUTE-NAGASANDRA,Nandini layout,Home,Kalyan magnum,Work,17:15:00,Metro + Bus ,90,Shuttle,30,3 km to 3.5 km ,7,Walk ,10,0.5 to 1 km ,,For egress trip only ,5,5,Metro card ,45,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Postgraduate,Employed,>2 Lakhs,0.0,1,1,0,0,10,-1,1,2,3,3,5,3,4,1,10,1
977,,SILK INSTITUTE-NAGASANDRA,JALAHALLI ,Home,Jp nagar ,Restaurant,17:00:00,Metro ,60,Walk ,15,0.5 to 1 km ,4,Own vehicle ,5,1 km to 1.5 km ,5,For neither access nor egress trips ,,,No ,49,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,,2.0,2,1,0,0,10,-1,1,5,1,1,3,4,1,1,1,3
978,,Nagasandra - silk institute ,"Thalgatpura, Balaji layout ",Home,"Magadi road, machohalli , Pooja hospital ",Work,16:30:00,Bus + Metro ,120,Walk ,5,0.5 to 1 km ,2,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,2,5,Metro card ,25,No crowding  - Most ,Male,,,Bus and Metro ,> 60 yrs ,Graduate,Employed,,1.0,0,0,0,0,10,-1,1,2,2,5,3,3,1,1,1,1
979,,SILK INSTITUTE-NAGASANDRA,Yeshwanthpur ,Other,Jp nagar,Home,05:30:00,Metro ,40,Two-Wheeler ,10,4.5 km to 5 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,No ,43,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,8,1,1,1,6,1,1,1,3,1
980,Sandal soap factory,,Peenya,Home,Sandal soap factory ,Shopping,18:15:00,Metro ,10,Walk ,5,< 0.5 km ,7,Walk ,7,1 km to 1.5 km ,,For egress trip only ,,,No ,15,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,1,4,1,1,1,4,4,0,1,1
981,,Silk institute - nagasandra ,"Konankunte cross, ",Home,"Bididi, Toyota showroom ",Work,17:30:00,Metro ,60,Dropped by coleg ,40,> 5 km ,10,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Postgraduate,Employed,,0.0,0,0,0,0,10,-1,1,2,1,3,8,1,1,1,8,1
982,,Silk institute - nagasandra ,"Nagasandra, doddabidrukallu",Home,"RMZ infinity opposite, old Madras road",Work,18:00:00,Metro ,90,Walk ,10,0.5 to 1 km ,1,Own bike,15,1.5 km to 2 km ,0,For neither access nor egress trips ,,,Mobility card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Employed,,1.0,1,0,0,0,10,-1,1,2,1,3,3,2,1,1,1,3
