,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
1047,1047,,Byapanahalli - kengeri ,"Kengeri, linea sunflower apartment ",Home,Christ University ,School,11:00:00,Bus + Metro ,75,Walk ,2,< 0.5 km ,15,Rapido/Uber Moto/Ola two-wheeler ,5,< 0.5 km ,2.0,For neither access nor egress trips ,3.0,3.0,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,12th,Student,,2.0,2,0,0,0,10,-1,1,3,2,1,1,1,1,0,1,7
1050,1050,,Byappanahalli to kengeri ,Kengeri terminal papareddy palya,Work,White field ofram kadugudi,Home,09:30:00,Bus + metro+ bus + metro + bus,210,Walk ,10,0.5 to 1 km ,3,Bus,2,< 0.5 km ,2.0,For neither access nor egress trips ,2.0,3.0,No ,200,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,10th,Employed,"10,001 – 25,000",0.0,0,0,0,0,10,-1,2,1,0,2,3,1,1,0,1,12
1054,1054,Jnanabharthi ,,"Marathahalli,eco space",Work,"Ullal,manganahalli",Home,00:00:00,Metro + Bus ,90,Rapido/uber moto/Ola App two-wheeler ,15,4 km to 4.5 km ,5,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,1.0,2.0,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Postgraduate,Employed,,0.0,1,0,0,0,10,-1,2,1,3,2,10,3,1,0,7,1
1056,1056,Jnanabharathi ,,Hosahalli metro station ,Home,Kengeri metro kumbaLgod,School,11:30:00,Bus + Metro ,90,Walk ,15,0.5 to 1 km ,20,Auto Rickshaw ,5,1 km to 1.5 km ,7.0,For both access and egress trips ,2.0,3.0,Metro card ,80,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,12th,Student,,0.0,1,0,0,0,10,-1,1,3,2,1,3,4,3,0,1,5
1059,1059,Silk institute ,,"Jaimala, containment railway behind ",Other,"Thattaguppe, kankpura main road",Home,12:00:00,Bus1 + Metro + Bus2 ,60,Two-Wheeler ,3,1.5 km to 2 km ,2,Auto Rickshaw ,20,> 5 km ,5.0,For neither access nor egress trips ,10.0,8.0,Metro card ,30,No crowding  - Most ,Female,Yes ,Bus ,Metro ,26-35yrs ,10th,Unemployed,,0.0,1,0,0,0,10,-1,8,1,4,2,2,8,1,0,3,5
1060,1060,Vijaynagar ,,Mantri square,Shopping,"baglur,Reva University ",Home,10:00:00,Bus + Metro ,60,Walk ,10,< 0.5 km ,15,Walk ,3,< 0.5 km ,,For access trip only ,15.0,8.0,No ,28,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Trade,Student,,0.0,0,0,0,0,10,-1,4,1,2,1,1,1,2,0,1,1
1061,1061,Vijaynagar ,,Mantri Square,Shopping,Moodalapalya SVS kalyanamantapa,Home,12:30:00,Metro ,30,Auto Rickshaw ,10,0.5 to 1 km ,8,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,0,10,-1,4,1,1,1,3,1,1,0,5,1
1064,1064,Vijaynagar ,,Jaynagar 3rd block,Shopping,Bsawngudi bull temple ,Home,11:30:00,Metro ,45,Two-Wheeler ,15,3 km to 3.5 km ,5,Walk ,15,1 km to 1.5 km ,,For neither access nor egress trips ,,,No ,120,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,2,0,0,0,10,-1,4,1,1,1,5,4,1,0,3,1
1065,1065,,Silk institute to nagasandra ,Jayanagar metro station ,Friend,Jyoti institute of technology ,School,12:00:00,Bus + Metro ,40,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,10.0,5.0,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,Yes ,Bus ,Metro ,18-25yrs ,12th,Student,,0.0,0,0,0,0,10,-1,7,3,2,1,3,3,3,0,1,1
1066,1066,,Silk institute to Nagasandra ,"Jayanagar,bda complex ",Home,"Kanakapura,somanahalli gate,aps college ",School,12:40:00,Metro ,30,Walk ,5,< 0.5 km ,5,Walk ,30,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Bus ,18-25 yrs ,12th,Student,"50,001 – 1,00,000",1.0,3,3,0,0,10,-1,1,3,1,1,1,3,3,0,1,1
1071,1071,Majestic ,,Whitefield hopharm,Home,Chikpete ,Shopping,13:00:00,Metro + Bus ,45,Walk ,5,< 0.5 km ,2,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,2.0,5.0,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,1.0,0,1,0,0,10,-1,1,4,3,1,1,3,1,0,1,1
1073,1073,,Silk institute to nagasandra ,Satire mall,Shopping,"Rajajinagar, 1st block ",Work,13:15:00,Metro ,30,Walk ,10,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,1.0,1,0,0,0,10,-1,4,2,1,2,1,1,1,0,1,1
1089,1089,,Byapanahalli -kengeri,"Jayprakash nagar, Indian beer house ",Home,"Pattangere,rv University ",School,03:15:00,Metro ,45,Walk ,10,0.5 to 1 km ,7,Walk ,10,< 0.5 km ,,For egress trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,2.0,0,0,0,0,10,-1,1,3,1,1,3,1,4,0,1,1
1094,1094,,Byapnahalli to kengeri ,Nagarbhavi,Home,Byapnahalli metro,Other,15:45:00,Metro + Bus ,45,Walk ,1,< 0.5 km ,2,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,5.0,10.0,No ,60,No crowding  - Most ,Female,Yes ,Bus + Metro ,Bus ,26-35yrs ,Graduate,Unemployed,,0.0,1,0,0,0,10,-1,1,8,3,2,1,1,1,0,1,1
1095,1095,Majestic ,,Marathalli Bridge ,Home,Nelgamaagla sub registration office ,Other,14:30:00,Bus + Metro ,90,Walk ,10,0.5 to 1 km ,2,Auto Rickshaw ,20,> 5 km ,4.0,For neither access nor egress trips ,2.0,3.0,No ,300,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,>2 Lakhs,0.0,1,0,0,0,10,-1,1,8,2,2,3,8,1,0,1,5
1096,1096,Jalahalli ,,Mantri square ,Home,Yegnalli bus stop near,Friend,15:50:00,Bus + Metro ,30,Walk ,2,< 0.5 km ,2,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,5.0,8.0,No ,40,No crowding  - Most ,Female,Eligible but do not use ,Bus + Metro ,Bus and Metro ,26-35yrs ,10th,Unemployed,,0.0,1,0,0,0,10,-1,1,7,2,2,1,3,1,0,1,1
1097,1097,Majestic ,,"T.C palya, koshy's hospital ",Home,"Chickpete, kV temple",Work,15:30:00,Metro + Bus ,90,Walk ,15,0.5 to 1 km ,5,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,5.0,30.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,,1.0,1,0,0,0,10,-1,1,2,3,2,3,1,1,0,1,1
1100,1100,Majestic ,,Byappanahalli metro station ,Friend,Majestic station ,Home,16:00:00,Metro ,15,Auto Rickshaw ,20,1 km to 1.5 km ,10,Auto Rickshaw ,25,2.5 km to 3 km ,10.0,For both access and egress trips ,,,Metro card ,150,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,,0.0,1,0,0,0,10,-1,7,1,1,2,4,7,3,0,5,5
1101,1101,Majestic ,,Kr puram railway station ,Home,"Kr market,minto hospital ",Work,16:00:00,Metro + Bus ,105,Walk ,5,< 0.5 km ,7,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,2.0,0.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,1.0,2,0,0,0,10,-1,1,2,3,1,1,1,1,0,1,1
1103,1103,Majestic ,,Indiranagar esi hospital ,Home,MSRIT,School,15:50:00,Bus + Metro ,75,Walk ,10,0.5 to 1 km ,8,Walk ,15,1 km to 1.5 km ,,For egress trip only ,6.0,6.0,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,12th,Student,>2 Lakhs,1.0,0,1,0,0,10,-1,1,3,2,1,3,4,4,0,1,1
1106,1106,Jalahalli ,,"MG road, church street ",Other,"KG halli, near rama temple",Home,16:20:00,Bus + Metro ,45,Two-Wheeler ,7,1.5 km to 2 km ,10,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,5.0,0.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus ,Metro ,18-25yrs ,Graduate,Student,,0.0,1,0,0,0,10,-1,8,1,2,1,2,3,3,0,3,1
0,0,Krantivira Sangolli Rayanna Railway Station (purple line),Dasarahalli (green line),Saptagiri medical college ,School,Sangolllii rayanna railway station came from mysore,Home,10:50:00,Metro ,45,Walk ,5,< 0.5 km ,5,Auto Rickshaw ,7,3.5 km to 4 km ,5.0,For egress trip only ,,,Metro card ,70,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,>2 Lakhs,0.0,0,0,0,Not Applicable - because neither ends of my trip is home. .,10,4,3,1,1,1,1,9,4,0,1,5
1,1,Mahatma Gandhi Road (purple line),Peenya (green line),Peenya,Friend,"Brigade road,mg road",Home,10:30:00,Metro ,15,Walk ,5,< 0.5 km ,2,Dropped-off by friends/others ,7,2 km to 2.5 km ,2.0,For egress trip only ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,2,0,0,"No, I will not use a bicycle. .",10,3,7,1,1,1,1,11,4,0,1,8
2,2,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Trinity (purple line),Kotak mahindra bank near trinity metro station ,Work,"Magdi road, near GT mall",Home,10:30:00,Bus + Metro ,60,Walk ,10,0.5 to 1 km ,15,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,5.0,8.0,No ,20,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,1,1,0,"No, I will not use a bicycle. .",10,3,2,1,2,1,3,1,1,0,1,1
3,3,Peenya (green line),Chickpet (green line),Chickpete ,Shopping,"Peenya,HMT police station ",Home,11:30:00,Metro ,45,Auto Rickshaw ,10,4 km to 4.5 km ,10,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,70,No crowding  - 25-50% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Unemployed,,1.0,1,1,0,"No, I will not use a bicycle. .",10,3,4,1,1,2,10,3,1,0,5,1
6,6,Peenya (green line),Silk Institute (green line),Silk institute guhantara ,Other,Vidyaranyapura near sambram College ,Home,11:00:00,Metro ,90,Auto Rickshaw ,10,> 5 km ,6,Auto Rickshaw ,17,> 5 km ,7.0,For access trip only ,,,Metro card ,350,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,"50,001 – 1,00,000",0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,8,1,1,2,8,8,2,0,5,5
8,8,Baiyappanahalli (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Bhalepete circle ,Shopping,Ramamurthy nagar bridge near,Home,12:00:00,Bus + Metro ,60,Walk ,5,< 0.5 km ,7,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,5.0,5.0,No ,30,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,10th,Daily,,0.0,1,0,0,"No, I will not use a bicycle. .",10,3,4,1,2,3,1,3,1,0,1,1
14,14,Yeshwanthpur (green line),Jayanagar (green line),Btm layout ,Other,Yeshwantpur railway station came from davangere ,Home,00:20:00,Metro ,40,Walk ,3,< 0.5 km ,5,Auto Rickshaw ,15,> 5 km ,4.0,For neither access nor egress trips ,,,Metro card ,100,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,Not Applicable - because neither ends of my trip is home. .,10,4,8,1,1,1,1,8,1,0,1,5
18,18,"Sir.M.Visvesvaraya Stn., Central College (purple line)",Mysore Road (purple line),"Rangavendta Matta vittavidu, banashankari 3rd stage",Home,Central college ,Home,12:30:00,Metro ,60,Walk ,3,< 0.5 km ,2,Two-Wheeler ,10,2.5 km to 3 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Doctorate,Employed,>2 Lakhs,1.0,2,0,0,"No, I will not use a bicycle. .",10,3,1,1,1,3,1,7,1,0,1,3
20,20,Jayaprakash Nagar (green line),Attiguppe (purple line),Vijaynagar market ,Friend,"JP nagar, inchara hotel near",Home,11:40:00,Metro ,45,Auto Rickshaw ,15,4 km to 4.5 km ,20,Auto Rickshaw ,15,2.5 km to 3 km ,3.0,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",10,3,7,1,1,2,10,7,1,0,5,5
23,23,Rajajinagar (green line),Krantivira Sangolli Rayanna Railway Station (purple line),Lulu mall,Friend,Kamakashipalya police station ,Home,12:30:00,Metro ,30,Dropped-off by friends/others ,20,> 5 km ,4,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Unemployed,,2.0,1,0,0,"No, I will not use a bicycle. .",10,3,7,1,1,3,8,1,1,0,8,1
24,24,Rajajinagar (green line),Baiyappanahalli (purple line)," byapanahalli,mallur",Home,"Rajajinagar,basveshwar nagar",Other,12:10:00,Bus1 + Metro + Bus2 ,90,Walk ,10,0.5 to 1 km ,3,Walk ,20,2 km to 2.5 km ,,For neither access nor egress trips ,3.0,9.0,No ,40,No crowding  - 50-75% of seats occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",10,3,1,8,4,2,3,11,1,0,1,1
29,29,Kengeri Bus Terminal (purple line),Halasuru (purple line),Halsur market near ,Home,Kengeri bus terminal (coorg),Other,14:00:00,Metro ,40,Walk ,5,< 0.5 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,47,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,0,0,0,"No, I will not use a bicycle. .",10,3,1,8,1,1,1,1,1,0,1,1
32,32,Pattanagere (purple line),Chickpet (green line),Chikpett whole sale shop,Shopping,"Kengeri upanagara, bhethasta school ",Home,13:50:00,Metro ,45,Dropped-off by friends/others ,5,1.5 km to 2 km ,4,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,10th,Business,,0.0,2,0,0,"No, I will not use a bicycle. .",10,3,4,1,1,3,2,1,1,0,8,1
35,35,Rajarajeshwari Nagar (purple line),Indiranagar (purple line),"EGL TECH PARK, Near indra nagar",Work,"RR nagar, near JSS college ",Home,14:15:00,Metro ,90,Ola/Uber car ,15,3.5 km to 4 km ,8,Ola/Uber car ,20,4.5 km to 5 km ,5.0,For both access and egress trips ,,,Metro card ,150,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",10,2,2,1,1,2,9,6,3,0,6,6
39,39,Rajarajeshwari Nagar (purple line),Vijayanagar (purple line),Vijaynagar near food Street ,Home,Rajarajeshwari bus stop (mandya),Other,14:35:00,Metro ,18,Walk ,5,< 0.5 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,19,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Unemployed,,0.0,0,0,0,"No, I will not use a bicycle. .",10,3,1,8,1,1,1,1,1,0,1,1
41,41,Rajarajeshwari Nagar (purple line),Magadi Road (purple line),Magadi road 1st cross inside saree shop,Shopping,"Jouregowda nagara, 13th cross 1st main road",Home,14:30:00,Metro ,45,Walk ,25,1.5 km to 2 km ,8,Walk ,10,1.5 km to 2 km ,,For neither access nor egress trips ,,,No ,75,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,10th,Unemployed,,0.0,1,0,0,"No, I will not use a bicycle. .",10,3,4,1,1,2,2,2,1,0,1,1
44,44,Rajarajeshwari Nagar (purple line),Deepanjali Nagar (purple line),"Deepanjali nagar 4th cross, near metro station ",Friend,"RR Nagar , contriver company ",Work,14:50:00,Metro ,20,Walk ,5,< 0.5 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,"No, I will not use a bicycle. .",10,3,7,2,1,1,1,1,1,0,1,1
49,49,Mantri Square Sampige Road (green line),National College (green line),Kr road ,Home,13th cross malleshwaram ,Work,14:40:00,Bus + Metro ,60,Walk ,5,< 0.5 km ,6,Auto Rickshaw ,10,2 km to 2.5 km ,5.0,For neither access nor egress trips ,10.0,6.0,Metro card ,120,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,Postgraduate,Unemployed,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,1,2,2,4,1,11,1,0,1,5
50,50,Attiguppe (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)","Yelahanka,5th phase",Work,Chandra layout ,Work,15:00:00,Bus1 + Metro + Bus2 ,90,Walk ,5,< 0.5 km ,2,Car ,5,1.5 km to 2 km ,,For both access and egress trips ,5.0,5.0,No ,20,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",1.0,1,0,0,"No, I will not use a bicycle. .",10,3,2,2,4,2,1,2,3,0,1,4
51,51,Jayanagar (green line),Silk Institute (green line),Silk institute metro station ,Home,Jayanagar jain college ,School,15:10:00,Metro ,18,Auto Rickshaw ,10,2.5 km to 3 km ,5,Dropped-off by friends/others ,5,0.5 to 1 km ,3.0,For neither access nor egress trips ,,,Metro card ,80,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Student,,1.0,2,2,0,"No, I will not use a bicycle. .",10,3,1,3,1,1,7,3,1,0,5,8
52,52,Jayanagar (green line),Konanakunte Cross (green line),"Jumbo Savari, dinne ,konankunte cross",Home,"Jaynagar,near metro station ",Work,15:20:00,"Metro,bus1,bus2",90,Walk ,5,0.5 to 1 km ,10,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,3.0,10.0,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,10th,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",10,3,1,2,0,2,3,3,1,0,1,1
58,58,Halasuru (purple line),Mahatma Gandhi Road (purple line),"MG road, residency road",Work,"Someshwara temple near, halasur",Home,15:34:00,Metro ,15,Walk ,5,< 0.5 km ,7,Walk ,4,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,15,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",10,3,2,1,1,1,1,3,1,0,1,1
61,61,Halasuru (purple line),Yeshwanthpur (green line),Yeshwanthpur railway station (Hyderabad),Other,"Halasur,  cambridge road",Home,03:45:00,Metro ,75,Walk ,10,< 0.5 km ,7,Walk ,4,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,26-35 yrs ,Postgraduate,Employed,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",10,2,8,1,1,2,1,1,1,0,1,1
66,66,Mahatma Gandhi Road (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)","Bell road, near fresh world",Home,"MG road, near mayo hall",Work,16:15:00,Metro + Bus ,90,Walk ,8,0.5 to 1 km ,8,Walk ,4,< 0.5 km ,,For neither access nor egress trips ,5.0,10.0,Metro card ,20,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Not eligible ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",10,3,1,2,3,1,3,1,1,0,1,1
67,67,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Jalahalli (green line),Jalahalli cross,Friend,Oklipuram ganesh temple ,Home,16:00:00,Metro ,25,Walk ,10,1 km to 1.5 km ,5,Dropped-off by friends/others ,10,2.5 km to 3 km ,3.0,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,7,1,1,1,4,7,1,0,1,8
70,70,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Jalahalli (green line),Near saptagiri engineering College ,School,Near majestic metro,Shopping,16:30:00,Metro + Bus ,60,Walk ,7,< 0.5 km ,5,Walk ,15,0.5 to 1 km ,,For both access and egress trips ,5.0,5.0,Metro card ,20,High crowding - All seats AND 50-75% of standing space occupied ,Female,Not eligible ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,3,4,3,1,1,3,3,0,1,1
0,0,Krishna Rajendra Market (green line),South End Circle (green line),Vijaya college ,School,Vinayaka theater,Home,08:35:00,Bus + Metro ,45,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,5.0,3.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,3,1,2,1,3,3,3,0,1,1
