,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,PARK,DESTINATION,ORIGIN,TRIP,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,AGE_NEW,MALE,ACCESS,EGRESS
25,25,Yelachenahalli (green line),Jayanagar (green line),"National college, jaynagar 7th block",School,"Shivganga melody,",Home,10:10:00,Metro ,25,Walk ,8,0.5 to 1 km ,6,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Trade,Student,,0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,3,1,1,3,1,3,2,0,1,1
26,26,Vijayanagar (purple line),Kengeri (purple line),"Ramohalli, om shakti traders",Work,Rajajinagar 1st block ,Home,09:30:00,Metro ,90,Two-Wheeler ,15,> 5 km ,1,Two-Wheeler ,30,> 5 km ,,For both access and egress trips ,,,Metro card ,30,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,12th,Business,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,2,1,1,8,8,3,1,0,0,0
28,28,Yelachenahalli (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Ksrtc terminal office ,Work,Jp nagar 8th phase,Home,09:55:00,Metro ,60,Dropped-off by friends/others ,15,3.5 km to 4 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",1.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,2,1,1,9,3,1,1,0,0,1
29,29,Yelachenahalli (green line),Magadi Road (purple line),Arogya soudha,Other,"Yelchenahalli,brigade palmspring",Home,10:15:00,Metro ,60,Dropped-off by friends/others ,10,2 km to 2.5 km ,6,Auto Rickshaw ,10,1.5 km to 2 km ,5.0,For neither access nor egress trips ,,,Metro card ,100,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",3,8,1,1,11,2,1,2,0,0,4
37,37,Jayaprakash Nagar (green line),"Dr. B. R. Ambedkar Station, Vidhana Soudha (purple line)",Mount Carmel college ,School,"Rajkumar statue ,JP nagar",Home,10:45:00,Metro ,40,Walk ,8,< 0.5 km ,6,Auto Rickshaw ,10,2 km to 2.5 km ,5.0,For egress trip only ,,,Metro card ,20,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,3,1,1,1,11,4,2,0,1,4
45,45,Banashankari (green line),Nagasandra (green line),Nagasandra near metro,Friend,Near Dayanand sagar college ,Home,10:45:00,Bus + Metro ,50,Walk ,7,0.5 to 1 km ,5,Dropped-off by friends/others ,10,2 km to 2.5 km ,3.0,For access trip only ,5.0,5.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,7,1,2,3,11,2,2,0,1,0
52,52,Indiranagar (purple line),Rajajinagar (green line),Rajajinagar 6th cross Rama mandir,Other,"KR puram, ayappa nagar",Home,10:00:00,Metro ,120,Auto Rickshaw ,50,> 5 km ,1,Walk ,10,1 km to 1.5 km ,,For neither access nor egress trips ,,,No ,350,Very high crowding - All seats AND most standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,46-60 yrs ,Graduate,Unemployed,"10,001 – 25,000",0.0,2,2,0,"No, I will not use a bicycle. .",3,8,1,1,8,4,1,4,0,4,1
56,56,Baiyappanahalli (purple line),Kengeri (purple line),Uttarahalli,Friend,"Chennasandhra, near T cross ",Home,10:00:00,Bus1 + Metro + Bus2 ,180,Walk ,10,0.5 to 1 km ,2,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,10.0,2.0,No ,55,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Business,,0.0,0,0,0,"No, I will not use a bicycle. .",3,7,1,4,3,3,1,2,0,1,1
66,66,Dasarahalli (green line),Mantri Square Sampige Road (green line),Trinity central hospital,Work,Arshinakunte ,Home,12:20:00,Bus + Metro ,100,Walk ,10,0.5 to 1 km ,5,Walk ,4,< 0.5 km ,,For neither access nor egress trips ,5.0,4.0,Metro card ,0,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Trade,Employed,"25,001 – 50,000",1.0,1,0,0,"No, I will not use a bicycle. .",3,2,1,2,3,1,1,1,0,1,1
67,67,Dasarahalli (green line),Mahatma Gandhi Road (purple line),Chruch street,Other,"Ayyapa school ,dasarahalli",Home,00:30:00,Metro ,50,Walk ,20,0.5 to 1 km ,8,Walk ,4,< 0.5 km ,,For access trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,2.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,8,1,1,3,1,2,2,0,1,1
68,68,Dasarahalli (green line),Kengeri (purple line),RV college ,Work,Rockline studio ,Home,12:40:00,Bus + Metro ,90,Walk ,5,< 0.5 km ,5,Walk ,15,1 km to 1.5 km ,,For neither access nor egress trips ,52.0,5.0,Metro card ,0,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Trade,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",3,2,1,2,1,4,1,2,0,1,1
71,71,Dasarahalli (green line),Krishna Rajendra Market (green line),Pradhan mantri super speciality hospital ,Work,Ravindra nagar ,Home,12:50:00,Metro ,26,Auto Rickshaw ,15,4 km to 4.5 km ,5,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,Metro card ,140,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,"No, I will not use a bicycle. .",3,2,1,1,10,1,3,2,0,4,1
74,74,Dasarahalli (green line),Baiyappanahalli (purple line),Avlahalli,School,Jindal,Home,13:00:00,Bus1 + Metro + Bus2 ,120,Walk ,5,< 0.5 km ,3,Walk ,4,< 0.5 km ,,For neither access nor egress trips ,2.0,9.0,No ,55,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Student,,0.0,1,0,0,"No, I will not use a bicycle. .",3,3,1,4,1,1,1,2,0,1,1
81,81,Pantharapalya - Nayandahalli (purple line),Mantri Square Sampige Road (green line),"BTV news channel office, crescent road",Work,"Nayandahalli, radian carel appartment ",Home,13:30:00,Metro ,25,Walk ,7,< 0.5 km ,8,Auto Rickshaw ,5,1.5 km to 2 km ,1.0,For neither access nor egress trips ,,,No ,30,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",3,2,1,1,1,2,1,3,0,1,4
87,87,Pantharapalya - Nayandahalli (purple line),Cubbon Park (purple line),"HAL, near cubban park",Work,"RR nagar,prestige bhagmane temple ",Home,13:45:00,Metro ,45,Auto Rickshaw ,5,1 km to 1.5 km ,7,Walk ,2,< 0.5 km ,,For egress trip only ,,,No ,82,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,2,1,1,4,1,4,2,0,4,1
92,92,Vijayanagar (purple line),Sandal Soap Factory (green line),"Rajendra raju, bovipalya nagapura",Friend,"Vijaynagar, akshara PG",Home,14:00:00,Metro ,45,Walk ,2,< 0.5 km ,7,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,"No, I will not use a bicycle. .",3,7,1,1,1,3,1,2,0,1,1
96,96,Vijayanagar (purple line),Swami Vivekananda Road (purple line),Company infront of metro station ,Work,"Nagarbhavi, bhyraweshwara nagar",Home,14:35:00,Metro ,45,Auto Rickshaw ,10,1.5 km to 2 km ,7,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,40,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,2,0,0,"No, I will not use a bicycle. .",3,2,1,1,2,1,1,2,0,4,1
97,97,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Mantri Square Sampige Road (green line),Mantri square,Shopping,Near Cantonment railway station,Home,02:15:00,Bus + Metro ,45,Walk ,10,0.5 to 1 km ,5,Walk ,3,< 0.5 km ,,For access trip only ,5.0,8.0,No ,20,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Trade,Student,,0.0,1,0,0,"No, I will not use a bicycle. .",3,4,1,2,3,1,2,2,0,1,1
104,104,National College (green line),Konanakunte Cross (green line),Kps vv puram,Work,Forum mall,Home,15:30:00,Metro ,50,Walk ,7,0.5 to 1 km ,3,Auto Rickshaw ,10,3 km to 3.5 km ,4.0,For both access and egress trips ,,,Metro card ,70,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,2,1,1,3,5,3,2,0,1,4
113,113,Chickpet (green line),Magadi Road (purple line),Chikpett ,Shopping,"Rajajinagar, bhashyam circle ",Home,16:00:00,Bus + Metro ,35,Walk ,5,< 0.5 km ,2,Walk ,5,< 0.5 km ,,For both access and egress trips ,2.0,8.0,Metro card ,0,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Unemployed,,0.0,1,0,0,"No, I will not use a bicycle. .",3,4,1,2,1,1,3,3,0,1,1
119,119,Banashankari (green line),Nagasandra (green line),Nagasandra metro,Other,Electronic city phase 1,Home,15:30:00,Bus + Metro ,240,Walk ,5,1 km to 1.5 km ,5,Dropped-off by friends/others ,120,> 5 km ,7.0,For neither access nor egress trips ,0.0,7.0,No ,50,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,8,1,2,4,8,1,2,0,1,0
121,121,Magadi Road (purple line),Indiranagar (purple line),Near CMH hospital ,Other,"Machohalli, magadi main road",Home,15:45:00,Bus + Metro ,120,Walk ,5,< 0.5 km ,2,Walk ,10,< 0.5 km ,,For both access and egress trips ,2.0,7.0,No ,30,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Student,,0.0,1,0,0,"No, I will not use a bicycle. .",3,8,1,2,1,1,3,2,0,1,1
127,127,Banashankari (green line),Cubbon Park (purple line),Bangalore gpo,Work,"Kanakpura,ksrtc depot",Home,15:30:00,Bus + Metro ,120,Walk ,5,< 0.5 km ,2,Walk ,2,< 0.5 km ,,For access trip only ,2.0,10.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Employed,"10,001 – 25,000",0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,2,1,2,1,1,2,2,0,1,1
129,129,Magadi Road (purple line),Baiyappanahalli (purple line),"Basavana nagara, ",Friend,"Rajajinagar, near rama Mandir ",Home,16:16:00,Metro ,45,Auto Rickshaw ,15,1.5 km to 2 km ,7,Dropped-off by friends/others ,25,4 km to 4.5 km ,10.0,For both access and egress trips ,,,No ,65,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,26-35 yrs ,Postgraduate,Employed,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,7,1,1,2,10,3,3,0,4,0
143,143,Silk Institute (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Bangalore City University ,School,Silk institute ,Home,09:00:00,Metro ,45,Walk ,5,< 0.5 km ,8,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Student,,0.0,1,1,0,"No, I will not use a bicycle. .",3,3,1,1,1,1,1,2,0,1,1
144,144,Silk Institute (green line),Jayanagar (green line),Jayanagar towards nimhans,Work,Kadalipura,Home,08:30:00,Bus + Metro ,40,Two-Wheeler ,7,2 km to 2.5 km ,5,Auto Rickshaw ,10,4 km to 4.5 km ,3.0,For both access and egress trips ,5.0,6.0,Metro card ,140,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",3,2,1,2,11,10,3,3,0,0,4
146,146,Silk Institute (green line),Krantivira Sangolli Rayanna Railway Station (purple line),"Empire , indranagar ",Friend,Brigade meadows,Home,09:00:00,Bus1 + Metro + Bus2 ,90,Walk ,6,< 0.5 km ,3,Walk ,5,< 0.5 km ,,For egress trip only ,4.0,8.0,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Business,,1.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,7,1,4,1,1,4,3,0,1,1
147,147,Silk Institute (green line),Rashtreeya Vidyalaya Road (green line),Jss college ,Work,Art of living ,Home,09:10:00,Metro ,45,Two-Wheeler ,20,> 5 km ,5,Walk ,10,1 km to 1.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,2.0,2,0,0,"No, I will not use a bicycle. .",3,2,1,1,8,4,1,2,0,0,1
149,149,Silk Institute (green line),South End Circle (green line),Jayanagar 2nd block,School,Kanakapura ,Home,08:00:00,Bus + Metro ,120,Walk ,5,< 0.5 km ,20,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,5.0,4.0,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Student,,0.0,0,0,0,"No, I will not use a bicycle. .",3,3,1,2,1,1,1,2,0,1,1
150,150,Silk Institute (green line),Jayaprakash Nagar (green line),"Near Pump house ,JP nagar",Work,Pattareddypalya,Home,09:00:00,Bus + Metro ,60,Walk ,3,< 0.5 km ,20,Auto Rickshaw ,6,1 km to 1.5 km ,3.0,For neither access nor egress trips ,2.0,1.0,No ,22,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",3,2,1,2,1,4,1,2,0,1,4
152,152,Silk Institute (green line),Baiyappanahalli (purple line),Rmz infinite bayappanahalli ,Work,Art of living silk institute ,Home,09:30:00,Bus + Metro ,100,Walk ,5,< 0.5 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,5.0,6.0,Metro card ,0,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",3,2,1,2,1,3,1,1,0,1,1
153,153,Silk Institute (green line),Jayanagar (green line),"Dairy circle, Bannerghatta road",Work,Kanakpura road,Home,07:00:00,Bus + Metro ,210,Dropped-off by friends/others ,5,2 km to 2.5 km ,15,Auto Rickshaw ,15,2.5 km to 3 km ,5.0,For access trip only ,2.0,8.0,Metro card ,80,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,2,1,2,11,7,2,3,0,0,4
155,155,Silk Institute (green line),National College (green line),National College ,School,"Udhipalya, near art of living ashram ",Home,09:54:00,Bus + Metro ,25,Walk ,3,< 0.5 km ,3,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,2.0,8.0,No ,70,No crowding  - 25-50% of seats occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Student,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,3,1,2,1,1,1,2,0,1,1
156,156,Silk Institute (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Visvesaraya college ,School,Somnahalli gate kanakpura,Home,07:30:00,Bus + Metro ,90,Walk ,7,< 0.5 km ,5,Walk ,13,1 km to 1.5 km ,,For neither access nor egress trips ,5.0,4.0,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Eligible but do not use ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"No, I will not use a bicycle. .",3,3,1,2,1,4,1,2,0,1,1
158,158,Thalaghattapura (green line),Jayanagar (green line),"Jaynagar,near bda complex ",School,Maya indra dhanush apartments,Home,10:35:00,Metro ,30,Walk ,15,1 km to 1.5 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Student,,1.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,3,1,1,4,1,1,2,0,1,1
159,159,Thalaghattapura (green line),National College (green line),BIT,School,Thalagattapura police station ,Home,10:30:00,Metro ,45,Walk ,7,0.5 to 1 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,>2 Lakhs,1.0,0,0,0,"No, I will not use a bicycle. .",3,3,1,1,3,1,1,2,0,1,1
162,162,Vajarahalli (green line),Rashtreeya Vidyalaya Road (green line),Near jayanagar ,School,Dmart near vajarahalli ,Home,11:15:00,Metro ,14,Walk ,7,0.5 to 1 km ,5,Walk ,7,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,Two-Wheeler - from origin to destiantion ,18-25 yrs ,Graduate,Student,"25,001 – 50,000",0.0,2,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,3,1,1,3,3,3,2,0,1,1
